"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"P31483","TIA1","Cytotoxic granule associated RNA binding protein TIA1",0.000276122641472583,-0.394113294826452,-0.118639923432724,0.000594413918697849,3.22591102976077,"Unchanged"
"P31644","GABRA5","Gamma-aminobutyric acid receptor subunit alpha-5",2.70177316472104e-11,0.650388818968207,0.195786543353901,1.29869751913683e-10,9.8864919890862,"Unchanged"
"P31689","DNAJA1","DnaJ homolog subfamily A member 1",0.198603914999038,0.0716929984878565,0.0215817430239372,0.250132794827037,0.601829364332256,"Unchanged"
"P31749","AKT1","RAC-alpha serine/threonine-protein kinase",0.000846030776588438,0.277566906687496,0.0835559647166016,0.001699705666868,2.76962627763477,"Unchanged"
"P31751","AKT2","RAC-beta serine/threonine-protein kinase",0.000144334147176296,0.427689674116813,0.128747420744914,0.00032333288153598,3.49035012729847,"Unchanged"
"P31930","UQCRC1","Cytochrome b-c1 complex subunit 1, mitochondrial",5.61311861581862e-05,0.323337746199458,0.0973343603364243,0.000133005247916252,3.87613122297197,"Unchanged"
"P31937","HIBADH","3-hydroxyisobutyrate dehydrogenase, mitochondrial",4.38852795440065e-31,-0.864913502474949,-0.260364907899753,2.99506170194888e-29,28.5235942261829,"Unchanged"
"P31939","ATIC","Bifunctional purine biosynthesis protein ATIC",0.723829234389501,0.0191695966261083,0.00577062358923764,0.772944215746991,0.111851848471682,"Unchanged"
"P31942","HNRNPH3","Heterogeneous nuclear ribonucleoprotein H3",2.19548945722579e-21,-1.2619557152606,-0.379886523493035,3.594657679016e-20,19.4443424613849,"Downregulated"
"P31943","HNRNPH1","Heterogeneous nuclear ribonucleoprotein H",3.56918298210006e-13,-0.894639558793783,-0.269313342504518,2.06395791070601e-12,11.6852991633115,"Unchanged"
"P31944","CASP14","Caspase-14",0.0301702026957142,0.328076314961837,0.0987608116704168,0.0462551617396704,1.33483979611475,"Unchanged"
"P31946","YWHAB","14-3-3 protein beta/alpha",3.24684112255823e-39,1.06368527116851,0.320201172567696,9.32519827408077e-37,36.030341925372,"Upregulated"
"P31947","SFN","14-3-3 protein sigma",3.88971707600572e-25,1.7233258404057,0.518772770264955,1.09435999203704e-23,22.9608397924105,"Upregulated"
"P31948","STIP1","Stress-induced-phosphoprotein 1",8.12472102498982e-05,0.186310446689976,0.056085032959238,0.000188374376136074,3.72497817298446,"Unchanged"
"P31949","S100A11","Protein S100-A11",0.234791267911006,0.15920838946003,0.0479265007888222,0.290559463143728,0.536764975588565,"Unchanged"
