"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"Q9BRJ6","C7orf50","Uncharacterized protein C7orf50",0.0195575942366009,-0.225911257469635,-0.0680060648565287,0.0347270729193431,1.45933182102411,"Unchanged"
"Q9BRJ7","NUDT16L1","Tudor-interacting repair regulator protein",1.79741518606629e-07,-0.536597422372886,-0.161531919730213,1.06714753467312e-06,5.97177553459137,"Unchanged"
"Q9BRK0","REEP2","Receptor expression-enhancing protein 2",0.00218221013638178,0.242385927223419,0.0729654346210757,0.00492533545189248,2.30756418548218,"Unchanged"
"Q9BRK3","MXRA8","Matrix remodeling-associated protein 8",0.250976387923441,0.126154674633957,0.0379763411580511,0.3240270166616,0.489418777762848,"Unchanged"
"Q9BRK5","SDF4","45 kDa calcium-binding protein",0.618047131164663,-0.0365046665085824,-0.0109889996007936,0.685360179394791,0.164081132429496,"Unchanged"
"Q9BRP4","PAAF1","Proteasomal ATPase-associated factor 1",0.00233897538422186,-0.213847089148457,-0.064374388319115,0.00524481370313641,2.28026993342596,"Unchanged"
"Q9BRP8","PYM1","Partner of Y14 and mago",0.0109652311723534,-0.262785304372046,-0.079106259035675,0.0207247980452513,1.6835096927806,"Unchanged"
"Q9BRP8-2","PYM1","Isoform 2 of Partner of Y14 and mago",2.70362680362691e-05,-0.462460532669191,-0.139214492144169,9.73539985490309e-05,4.01164620632045,"Unchanged"
"Q9BRQ6","CHCHD6","MICOS complex subunit MIC25",2.16454527837791e-11,0.415624381060355,0.125115405628444,3.36040779366192e-10,9.47360801672004,"Unchanged"
"Q9BRT2","UQCC2","Ubiquinol-cytochrome c reductase complex assembly factor 2",0.567637023247011,0.0791943681727485,0.0238398803076542,0.639542661203277,0.194130480259269,"Unchanged"
"Q9BRT3","MIEN1","Migration and invasion enhancer 1",0.225158614664416,-0.111888691974706,-0.0336818524599941,0.295904352884999,0.528848646126861,"Unchanged"
"Q9BRX2","PELO","Protein pelota homolog",0.770205015088942,-0.0302435112213812,-0.00910420405183594,0.816647157207826,0.0879655453978143,"Unchanged"
"Q9BRX8","PRXL2A","Peroxiredoxin-like 2A",0.0573553105778496,-0.200596198721089,-0.0603854728312207,0.0895267562982603,1.04804715042596,"Unchanged"
"Q9BRZ2","TRIM56","E3 ubiquitin-protein ligase TRIM56",0.003955289703303,-0.24277440666154,-0.0730823785846489,0.00837686640833569,2.07691841049592,"Unchanged"
